Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
SCLF-95+,YY161,"Lumped LC Low Pass Filter, DC -95 MHz",DC -95,108,146-189,20,189-400,40,Low Pass,Lumped LC,SMT,50
SCLF-135+,YY161,"Lumped LC Low Pass Filter, DC -135 MHz",DC -135,155,210-300,20,300-600,40,Low Pass,Lumped LC,SMT,50
SCLF-190+,YY161,"Lumped LC Low Pass Filter, DC -190 MHz",DC -190,210,290-390,20,390-800,40,Low Pass,Lumped LC,SMT,50
SCLF-225+,YY161,"Lumped LC Low Pass Filter, DC -225 MHz",DC -225,250,340-440,20,440-1200,40,Low Pass,Lumped LC,SMT,50
SCLF-380+,YY161,"Lumped LC Low Pass Filter, DC -380 MHz",DC -380,440,580-750,20,750-1800,40,Low Pass,Lumped LC,SMT,50
SCLF-420+,YY161,"Lumped LC Low Pass Filter, DC -420 MHz",DC -420,470,750-920,20,920-2000,40,Low Pass,Lumped LC,SMT,50
SCLF-550+,YY161,"Lumped LC Low Pass Filter, DC -550 MHz",DC -550,605,800-1050,20,1050-2000,40,Low Pass,Lumped LC,SMT,50
SCLF-700+,YY161,"Lumped LC Low Pass Filter, DC -700 MHz",DC -700,770,1000-1300,20,1300-2000,40,Low Pass,Lumped LC,SMT,50
SCLF-1000+,YY161,"Lumped LC Low Pass Filter, DC -1000 MHz",DC -1000,1200,1620-2100,20,2100-2500,40,Low Pass,Lumped LC,SMT,50
SXLP-3+,HF1139,"Lumped LC Low Pass Filter, DC -3 MHz",DC -3,3.5,4.6-800,20,-,-,Low Pass,Lumped LC,SMT,50
SXLP-4.7+,HF1139,"Lumped LC Low Pass Filter, DC -4.7 MHz",DC -4.7,5.6,6.6-7.4,20,7.4-600,40,Low Pass,Lumped LC,SMT,50
SXLP-5+,HF1139,"Lumped LC Low Pass Filter, DC -5 MHz",DC -5,5.8,8.0-11,20,11-600,40,Low Pass,Lumped LC,SMT,50
SXLP-8+,HF1139,"Lumped LC Low Pass Filter, DC -8 MHz",DC -8,9.2,12.5-16.5,20,16.5-1000,40,Low Pass,Lumped LC,SMT,50
SXLP-8.4+,HF1139,"Lumped LC Low Pass Filter, DC -8.4 MHz",DC -8.4,9.4,11.6-13.0,20,13.0-400,40,Low Pass,Lumped LC,SMT,50
SXLP-10+,HF1139,"Lumped LC Low Pass Filter, DC -10 MHz",DC -10,11.2,14-16,20,16-230,40,Low Pass,Lumped LC,SMT,50
SXLP-10.7+,HF1139,"Lumped LC Low Pass Filter, DC -11 MHz",DC -11,14,19-24,20,24-1600,40,Low Pass,Lumped LC,SMT,50
SXLP-13+,HF1139,"Lumped LC Low Pass Filter, DC -13 MHz",DC -13,15.1,18.5,20,20-2200,30,Low Pass,Lumped LC,SMT,50
SXLP-16+,HF1139,"Lumped LC Low Pass Filter, DC -16 MHz",DC -16,18.3,22,20,1000-2000,30,Low Pass,Lumped LC,SMT,50
SXLP-21.4+,HF1139,"Lumped LC Low Pass Filter, DC -22 MHz",DC -22,24.5,32-41,20,41-2000,40,Low Pass,Lumped LC,SMT,50
SXLP-23+,HF1139,"Lumped LC Low Pass Filter, DC -23 MHz",DC -23,25,31-34,20,34-500,40,Low Pass,Lumped LC,SMT,50
SXLP-25+,HF1139,"Lumped LC Low Pass Filter, DC -25 MHz",DC -25,28,36-47,20,47-1000,40,Low Pass,Lumped LC,SMT,50
SXLP-27+,HF1139,"Lumped LC Low Pass Filter, DC -27 MHz",DC -27,30,36-41,20,41-810,40,Low Pass,Lumped LC,SMT,50
SXLP-29+,HF1139,"Lumped LC Low Pass Filter, DC -29 MHz",DC -29,32.5,38,20,400-2500,30,Low Pass,Lumped LC,SMT,50
SXLP-30+,HF1139,"Lumped LC Low Pass Filter, DC -30 MHz",DC -30,35,47-61,20,61-1500,40,Low Pass,Lumped LC,SMT,50
SXLP-36+,HF1139,"Lumped LC Low Pass Filter, DC -36 MHz",DC -36,40,50-57,20,57-560,40,Low Pass,Lumped LC,SMT,50
SXLP-40+,HF1139,"Lumped LC Low Pass Filter, DC -40 MHz",DC -40,50,54-80,20,80-2750,40,Low Pass,Lumped LC,SMT,50
SXLP-44+,HF1139,"Lumped LC Low Pass Filter, DC -44 MHz",DC -44,48.5,59-65.5,20,65.50-600,40,Low Pass,Lumped LC,SMT,50
