Model Number,Case Style,Description,Passband F1 (MHz),Passband F2 (MHz),Stopband F3 (MHz),Rejection @ F3 (dB),Stopband F4 (MHz),Rejection @ F4 (dB),Filter Type,Technology,Interface,Impedance (O)
BPGE-542R+,GE0805C-3,"LTCC Band Pass Filter, 4900-5920 MHz",4900,5920,3500,49,14700-17760,30,Band Pass,LTCC,SMT,50
BPHI-332+,HQ1157,"Lumped LC Band Pass Filter, 329-335 MHz",329,335,300-313,20,343-370,20,Band Pass,Lumped LC,SMT,50
BPHI-370+,HQ1157,"Lumped LC Band Pass Filter, 350-390 MHz",350,390,DC-305,30,430-4000,30,Band Pass,Lumped LC,SMT,50
BPJC-252R+,JC0603C-1,"LTCC Band Pass Filter, 2400-2500 MHz",2400,2500,1910,26,3200,38,Band Pass,LTCC,SMT,50
BPJC-542R+,JC0603C-1,"LTCC Band Pass Filter, 4900-5900 MHz",4900,5900,DC-2700,40,9800-12000,34,Band Pass,LTCC,SMT,50
BPNK-252R+,NK0402C-1,"LTCC Band Pass Filter, 2400-2500 MHz",2400,2500,692-800,40,4800-5000,23,Band Pass,LTCC,SMT,50
BPNK-542R+,NK0402C-1,"LTCC Band Pass Filter, 4900-5950 MHz",4900,5950,2400-2500,23,14700-17850,38,Band Pass,LTCC,SMT,50
BPNL-1891+,NL1008C-3,"LTCC Band Pass Filter, 1790-2000 MHz",1790,2000,1090,36,2615-5935,33,Band Pass,LTCC,SMT,50
CBP-670F+,KV1710,"Ceramic Resonator Band Pass Filter, 645-695 MHz",645,695,DC-613,20,728-1500,20,Band Pass,Ceramic Resonator,SMT,50
CBP-770C+,MP1766,"Ceramic Resonator Band Pass Filter, 760-780 MHz",760,780,DC-705,20,840-1650,20,Band Pass,Ceramic Resonator,SMT,50
CBP-804F+,KV1710,"Ceramic Resonator Band Pass Filter, 783-825 MHz",783,825,DC-750,20,860-1900,20,Band Pass,Ceramic Resonator,SMT,50
CBP-840C+,MP1766,"Ceramic Resonator Band Pass Filter, 790-890 MHz",790,890,DC-665,20,1070-1600,20,Band Pass,Ceramic Resonator,SMT,50
CBP-893C+,MP1766,"Ceramic Resonator Band Pass Filter, 870-915 MHz",870,915,DC-750,20,1050-1700,20,Band Pass,Ceramic Resonator,SMT,50
CBP-897G+,NC1916,"Ceramic Resonator Band Pass Filter, 887-907 MHz",887,907,DC-850,20,945-2000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-915C+,MP1766,"Ceramic Resonator Band Pass Filter, 902.5-927.5 MHz",902.5,927.5,DC-830,20,1005-1800,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1000F+,KV1710,"Ceramic Resonator Band Pass Filter, 900-1100 MHz",900,1100,DC-790,20,1260-1800,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1023A+,KV1514,"Ceramic Resonator Band Pass Filter, 1005-1041 MHz",1005,1041,DC-970,20,1075-2400,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1034C+,MP1766,"Ceramic Resonator Band Pass Filter, 978-1090 MHz",978,1090,DC-790,20,1400-2000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1060Q+,HQ2299,"Ceramic Resonator Band Pass Filter, 1030-1090 MHz",1030,1090,500-930,20,1190-1400,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1062C+,MP1766,"Ceramic Resonator Band Pass Filter, 960-1164 MHz",960,1164,DC-735,20,1620-1900,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1090C+,MP1766,"Ceramic Resonator Band Pass Filter, 1060-1120 MHz",1060,1120,DC-955,20,1255-2200,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1120F+,KV1710,"Ceramic Resonator Band Pass Filter, 1020-1220 MHz",1020,1220,DC-880,20,1420-2000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1170C+,MP1766,"Ceramic Resonator Band Pass Filter, 1110-1230 MHz",1110,1230,DC-900,20,1560-2200,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1183A+,KV1514,"Ceramic Resonator Band Pass Filter, 1165-1201 MHz",1165,1201,DC-1130,20,1235-2800,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1228C+,MP1766,"Ceramic Resonator Band Pass Filter, 1217-1238 MHz",1217,1238,DC-1140,20,1330-3000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1250C+,MP1766,"Ceramic Resonator Band Pass Filter, 1215-1285 MHz",1215,1285,DC-1055,20,1510-2500,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1260C+,MP1766,"Ceramic Resonator Band Pass Filter, 1200-1320 MHz",1200,1320,DC-1025,20,1640-2450,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1280C+,MP1766,"Ceramic Resonator Band Pass Filter, 1170-1390 MHz",1170,1390,DC-950,20,1850-2450,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1280F+,KV1710,"Ceramic Resonator Band Pass Filter, 1160-1400 MHz",1160,1400,DC-1000,20,1570-2100,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1300A+,KV1514,"Ceramic Resonator Band Pass Filter, 1200-1400 MHz",1200,1400,DC-1040,20,1640-3100,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1307C+,MP1766,"Ceramic Resonator Band Pass Filter, 1215-1400 MHz",1215,1400,DC-1000,20,1820-2500,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1320Q+,HQ2299,"Ceramic Resonator Band Pass Filter, 1280-1360 MHz",1280,1360,900-1170,20,1490-20000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1350C+,MP1766,"Ceramic Resonator Band Pass Filter, 1300-1400 MHz",1300,1400,DC-1125,20,1665-2700,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1400BD+,LW1611-1,"Ceramic Resonator Band Pass Filter, 1320-1480 MHz",1320,1480,DC-1224,27,1700-2300,55,Band Pass,Ceramic Resonator,SMT,50
CBP-1400E+,LW1611,"Ceramic Resonator Band Pass Filter, 1320-1480 MHz",1320,1480,DC-1150,20,1600-2400,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1400F+,KV1710,"Ceramic Resonator Band Pass Filter, 1300-1500 MHz",1300,1500,DC-1090,20,1740-2450,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1414A+,KV1514,"Ceramic Resonator Band Pass Filter, 1402-1426 MHz",1402,1426,1310-1352,30,1480-3000,30,Band Pass,Ceramic Resonator,SMT,50
CBP-1423AF+,SV2484,"Ceramic Resonator Band Pass Filter, 1333-1513 MHz",1333,1513,DC-1113,60,1669-2600,55,Band Pass,Ceramic Resonator,SMT,50
CBP-1450F+,KV1710,"Ceramic Resonator Band Pass Filter, 1320-1580 MHz",1320,1580,DC-1150,20,1775-2350,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1475E+,LW1611,"Ceramic Resonator Band Pass Filter, 1375-1575 MHz",1375,1575,DC-1230,40,1750-2600,40,Band Pass,Ceramic Resonator,SMT,50
CBP-1476BD+,LW1611-1,"Ceramic Resonator Band Pass Filter, 1427-1525 MHz",1427,1525,DC-1340,26,1590-2500,26,Band Pass,Ceramic Resonator,SMT,50
CBP-1490A+,KV1514,"Ceramic Resonator Band Pass Filter, 1465-1515 MHz",1465,1515,DC-1430,20,1550-3000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1538J+,MQ1770,"Ceramic Resonator Band Pass Filter, 1518-1559 MHz",1518,1559,DC-1390,20,1750-3000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1555C+,MP1766,"Ceramic Resonator Band Pass Filter, 1525-1585 MHz",1525,1585,DC-1415,20,1700-3600,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1598AF+,SV2484,"Ceramic Resonator Band Pass Filter, 1505.5-1690.5 MHz",1505.5,1690.5,DC-1264,60,1888-2900,60,Band Pass,Ceramic Resonator,SMT,50
CBP-1630F+,KV1710,"Ceramic Resonator Band Pass Filter, 1500-1760 MHz",1500,1760,DC-1320,20,1960-2600,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1645J+,MQ1770,"Ceramic Resonator Band Pass Filter, 1616-1675 MHz",1616,1675,DC-1500,20,1850-3000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1748C+,MP1766,"Ceramic Resonator Band Pass Filter, 1710-1785 MHz",1710,1785,DC-1580,20,1960-4000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1773AF+,SV2484,"Ceramic Resonator Band Pass Filter, 1678-1868 MHz",1678,1868,DC-1400,65,2150-2700,60,Band Pass,Ceramic Resonator,SMT,50
CBP-1820F+,KV1710,"Ceramic Resonator Band Pass Filter, 1680-1960 MHz",1680,1960,DC-1510,20,2170-3000,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1880E+,LW1611,"Ceramic Resonator Band Pass Filter, 1780-1980 MHz",1780,1980,DC-1550,20,2150-3300,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1905AN+,TJ2826-1,"Ceramic Resonator Band Pass Filter, 1785-2025 MHz",1785,2025,DC-1525,27,2365-3200,26,Band Pass,Ceramic Resonator,SMT,50
CBP-1950C+,MP1766,"Ceramic Resonator Band Pass Filter, 1920-1980 MHz",1920,1980,DC-1740,20,2190-4300,20,Band Pass,Ceramic Resonator,SMT,50
CBP-1953AF+,SV2484,"Ceramic Resonator Band Pass Filter, 1858-2048 MHz",1858,2048,DC-1500,65,2400-3500,50,Band Pass,Ceramic Resonator,SMT,50
CBP-2150AN+,TJ2826-1,"Ceramic Resonator Band Pass Filter, 2000-2300 MHz",2000,2300,DC-1700,27,3200-3620,40,Band Pass,Ceramic Resonator,SMT,50
CBP-2250A+,KU1513,"Ceramic Resonator Band Pass Filter, 2000-2500 MHz",2000,2500,DC-1630,20,2900-6000,35,Band Pass,Ceramic Resonator,SMT,50
CBP-2400A+,KU1513,"Ceramic Resonator Band Pass Filter, 2200-2600 MHz",2200,2600,DC-1780,20,3480-4200,20,Band Pass,Ceramic Resonator,SMT,50
CBP-5800AG+,RZ2511,"Ceramic Resonator Band Pass Filter, 5725-5825 MHz",5725,5825,DC-5100,20,6250-7300,20,Band Pass,Ceramic Resonator,SMT,50
CBP-A1060C+,MP1766,"Ceramic Resonator Band Pass Filter, 1015-1105 MHz",1015,1105,DC-865,20,1350-2250,20,Band Pass,Ceramic Resonator,SMT,50
CBP-A1230C+,MP1766,"Ceramic Resonator Band Pass Filter, 1160-1300 MHz",1160,1300,DC-950,20,1670-2400,20,Band Pass,Ceramic Resonator,SMT,50
CBP-B1230C+,MP1766,"Ceramic Resonator Band Pass Filter, 1120-1340 MHz",1120,1340,DC-980,20,1750-2350,20,Band Pass,Ceramic Resonator,SMT,50
CBP2-1300BV+,WA3176-1,"Ceramic Resonator Band Pass Filter, 1200-1400 MHz",1200,1400,DC-1090,27,1515-20000,20,Band Pass,Ceramic Resonator,SMT,50
CBP2-1600AN+,TJ2826-1,"Ceramic Resonator Band Pass Filter, 1580-1620 MHz",1580,1620,DC-1495,26,1715-2700,29,Band Pass,Ceramic Resonator,SMT,50
CBP2-3050BN+,WA3176,"Ceramic Resonator Band Pass Filter, 2700-3400 MHz",2700,3400,DC-2465,29,3640-4500,29,Band Pass,Ceramic Resonator,SMT,50
CBP3-2700BR+,YG3251,"Ceramic Resonator Band Pass Filter, 2646-2754 MHz",2646,2754,DC-2400,28,2960-4200,28,Band Pass,Ceramic Resonator,SMT,50
CBP4-836C+,MP1766,"Ceramic Resonator Band Pass Filter, 824-849 MHz",824,849,DC-600,75,1080-1600,60,Band Pass,Ceramic Resonator,SMT,50
CBP4-942C+,MP1766,"Ceramic Resonator Band Pass Filter, 925-960 MHz",925,960,DC-650,75,1250-1750,60,Band Pass,Ceramic Resonator,SMT,50
CBP4-1650Q+,HQ2218,"Ceramic Resonator Band Pass Filter, 1600-1700 MHz",1600,1700,DC-1470,27,1875-5000,30,Band Pass,Ceramic Resonator,SMT,50
